year,RHAU_Rockfish (percent),RHAU_Anchovy (percent),RHAU_Saury (percent),RHAU_Other (percent)
1972,NaN,NaN,NaN,NaN
1973,NaN,NaN,NaN,NaN
1974,NaN,NaN,NaN,NaN
1975,NaN,NaN,NaN,NaN
1976,NaN,NaN,NaN,NaN
1977,NaN,NaN,NaN,NaN
1978,NaN,NaN,NaN,NaN
1979,NaN,NaN,NaN,NaN
1980,NaN,NaN,NaN,NaN
1981,NaN,NaN,NaN,NaN
1982,NaN,NaN,NaN,NaN
1983,NaN,NaN,NaN,NaN
1984,NaN,NaN,NaN,NaN
1985,NaN,NaN,NaN,NaN
1986,NaN,NaN,NaN,NaN
1987,83,1,5,12
1988,67,9,0,24
1989,0,20,1,78
1990,13,14,4,68
1991,53,0,1,45
1992,9,80,0,11
1993,26,38,0,37
1994,23,16,0,61
1995,14,24,26,36
1996,28,30,28,14
1997,9,1,41,49
1998,3,2,88,6
1999,32,30,14,24
2000,0,42,46,11
2001,39,0,49,12
2002,51,4,25,20
2003,3,1,63,33
2004,15,34,38,12
